-0.5438286873626289,-0.5452120403073731,-0.5491279265832095,-0.554725960042723,-0.5601971973495212,-0.5627486189557542,-0.5601971971921028,-0.5547259597278431,-0.5491279261114398,-0.5452120396800776,-0.5438286865815268
-1.5424453338195019,-1.5439457732070736,-1.548286852566594,-1.5547893577036076,-1.561657104792724,-1.5653000402408803,-1.5616571046485521,-1.5547893574146066,-1.5482868521326898,-1.5439457726290577,-1.5424453330985624
-2.5380611006867895,-2.5398388656178486,-2.545284352267247,-2.5544875129180125,-2.5663418233922095,-2.5751373320901085,-2.566341823276942,-2.5544875126846707,-2.5452843519142543,-2.5398388651450596,-2.5380611000946818
-3.5301213370389513,-3.5320642359053966,-3.5385241775707965,-3.5515345179216715,-3.5740853433881505,-3.6025656410768923,-3.5740853433159994,-3.5515345177681876,-3.538524177332322,-3.532064235581085,-3.530121336628773
-4.518295775219551,-4.51977256313347,-4.525213603934216,-4.539041037560416,-4.5758993909171854,-4.686954545272547,-4.575899390904245,-4.539041037504209,-4.525213603831571,-4.519772562984584,-4.518295775024504
-5.503516637378707,-5.5035166373760696,-5.503516637375759,-5.503516637374113,-5.503516637354728,-5.503516637447759,-5.5035166374333,-5.503516637422385,-5.50351663741494,-5.503516637410964,-5.503516637409722
-6.4887374996014096,-6.487260711681409,-6.48181967088228,-6.467992237267733,-6.431133883946858,-6.320078729734348,-6.4311338840254795,-6.467992237393653,-6.481819671050488,-6.4872607118897285,-6.488737499847435
-7.476911937957678,-7.474969039081417,-7.468509097415009,-7.455498757073928,-7.432947931632576,-7.4044676339866164,-7.432947931735232,-7.455498757268143,-7.4685090976935955,-7.474969039438973,-7.476911938389394
-8.468972174557996,-8.467194409611196,-8.461748922954568,-8.45254576230548,-8.44069145184142,-8.431895943156933,-8.440691451968286,-8.45254576255373,-8.461748923317693,-8.46719441008268,-8.468972175131617
-9.4645879416877,-9.463087502277997,-9.458746422904397,-9.452243917760985,-9.445376170671524,-9.441733235224982,-9.445376170814678,-9.452243918043422,-9.458746423320122,-9.463087502820134,-9.46458794234936
-10.463204588352463,-10.461821235380603,-10.45790534908561,-10.452307315614389,-10.446836078301619,-10.444284656691767,-10.446836078450302,-10.452307315908236,-10.457905349518786,-10.46182123594615,-10.46320458904331
